"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11140-00001,정동공원,근린공원,서울특별시 중구 정동길 21-18,서울특별시 중구 정동 15-1,37.5677391514,126.9713584743,8230,,,화장실,,,1984-09-20,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00002,훈련원공원,근린공원,서울특별시 중구 을지로 227,서울특별시 중구 을지로5가 40-3,37.5669291250,127.0043893100,16735,x-game장,,화장실,,,1989-03-14,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00003,응봉공원,근린공원,서울특별시 중구 신당동 산36,서울특별시 중구 신당동 산36,37.548628,,107695,배드민턴장,,화장실,,,1977-07-09,서울특별시 중구청,02-3396-5863,2020-06-04
11140-00004,무학봉공원,근린공원,서울특별시 중구 난계로6길 8,서울특별시 중구 신당5동 산12-63,37.5622338101,127.0245746545,12584,,조합놀이대,"화장실, 주차장",,,1977-07-09,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00005,묵정공원,어린이공원,서울특별시 중구 마른내로12길 19,서울특별시 중구 충무로5가 21,37.5635588484,127.0006655314,3907,,조합놀이대,"화장실,주차장",,,1940-03-12,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00006,쌍림공원,어린이공원,서울특별시 중구 퇴계로 303-9,서울특별시 중구 광희동 242,37.5644602798,127.0050370475,1500,,조합놀이대,,,,1959-03-12,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00007,황학공원,어린이공원,서울특별시 중구 다산로48길 33,서울특별시 중구 황학동 755,37.5674949,127.0180128528,1087,,조합놀이대,"화장실,주차장",,,1940-03-12,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00008,배재공원,어린이공원,서울특별시 중구 정동 34-31,서울특별시 중구 정동 34-31,37.564224,126.972182,2877,,,화장실,무대,,1986-05-20,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00009,청구공원,어린이공원,서울특별시 중구 청구동 842-1,서울특별시 중구 청구동 842-1,37.555579,,1656,게이트볼장,조합놀이대,화장실,,,1985-11-22,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00010,충현공원,어린이공원,서울특별시 중구 다산동 432-540,서울특별시 중구 다산동 432-540,37.552205,127.004876,1571,,조합놀이대,,,,1999-07-20,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00011,다산공원,어린이공원,서울특별시 중구 신당5동 123-1,서울특별시 중구 신당5동 123-1,37.564103,127.018843,3679,,조합놀이대,화장실,무대,,1963-04-26,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00012,늘푸른공원,어린이공원,서울특별시 중구 다산동 432-917,서울특별시 중구 다산동 432-917,37.551074,,423,,조합놀이대,,,,2006-05-18,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00013,저동공원,어린이공원,서울특별시 중구 저동1가 1-14,서울특별시 중구 저동1가 1-14,37.564736,126.9878943786,1050,,,,,,1963-04-26,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00014,꿈누리공원,어린이공원,서울특별시 중구 신당동 851-9,서울특별시 중구 신당동 851-9,37.560344,127.018116,2569,,조합놀이대,,,,2007-03-22,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00015,동화공원,어린이공원,서울특별시 중구 신당동 852-4,서울특별시 중구 신당동 852-4,37.560464,127.020459,3071,,조합놀이대,,,,2007-06-28,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00016,순화어린이공원,어린이공원,서울특별시 중구 순화동 3-12,서울특별시 중구 순화동 3-12,37.563458,126.971326,1439,,조합놀이대,,,,2003-10-07,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00017,저동1공원,소공원,서울특별시 중구 을지로2가 203-1,서울특별시 중구 을지로2가 203-1,37.565975,126.989627,210,,,,,,2007-06-28,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00018,저동2공원,소공원,서울특별시 중구 을지로2가 203-4,서울특별시 중구 을지로2가 203-4,37.56525562,126.9888396,200,,,,,,2007-06-28,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00019,쌍림동공원,소공원,서울특별시 중구 쌍림동 292-2,서울특별시 중구 쌍림동 292-2,37.563911,127.002671,169,,,,,,2007-11-29,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00020,무교1공원,소공원,서울특별시 중구 무교동 97-2,서울특별시 중구 무교동 97-2,37.568451,126.979038,570,,,,,,2001-03-31,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00021,무교2공원,소공원,서울특별시 중구 태평로1가 2-2,서울특별시 중구 태평로1가 2-2,37.569004,126.977595,1245,,,,,,1973-09-06,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00022,경찰기념공원,소공원,서울특별시 중구 의주로1가 44-2,서울특별시 중구 의주로1가 44-2,37.564064,126.968591,1039,,,,,,1978-12-29,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00023,진달래공원,소공원,서울특별시 중구 정동 1-73,서울특별시 중구 정동 1-73,37.568003,126.974807,713,,,,,,1985-01-06,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00024,마루공원,소공원,서울특별시 중구 다산동 432-1918,서울특별시 중구 다산동 432-1918,,,337,,,,,,1995-05-16,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00025,만리2구역1공원,소공원,서울특별시 중구 만리동2가 231-2,서울특별시 중구 만리동2가 231-2,37.552473,126.963143,1204.2,,,,,,2017-08-09,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00026,만리2구역2공원,소공원,서울특별시 중구 만리동2가 211,서울특별시 중구 만리동2가 211,37.552941,126.963462,3394.5,,,,,,2017-08-09,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00027,다동공원,소공원,서울특별시 중구 다동 51,서울특별시 중구 다동 51,37.567911,126.980148,1929,,,,,,1976-04-07,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00028,서소문제5지구공원,소공원,서울특별시 중구 서소문동 세종대로 69-18,서울특별시 중구 서소문동 119,37.5631062029,126.9752235896,117.5,,,,,,2009-12-24,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00029,신당제11구역1공원,소공원,서울특별시 중구 신당동 85-549,서울특별시 중구 신당동 85-549,,,277,,,,,,2011-06-23,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00030,신당제11구역2공원,소공원,서울특별시 중구 신당동 85-288,서울특별시 중구 신당동 85-288,,,77,,,,,,2011-06-23,서울특별시 중구청,02-3396-5855,2020-06-04
11140-00031,손기정공원,체육공원,서울특별시 중구 손기정로 101,서울특별시 중구 만리동2가 6-1,37.5554795035,126.9648157462,29682,"축구장, 게이트볼장, 테니스장",조합놀이대,"화장실,주차장",,,1987-09-18,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00032,서소문공원,역사공원,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-2,37.5605678517,126.9688671610,21363,,,"화장실,주차장",,,1973-11-22,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00033,한빛미디어파크,역사공원,서울특별시 중구 삼각동 118,서울특별시 중구 삼각동 118,37.568073,126.985152,2071,,,,,,2006-06-15,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00034,순화문화공원,문화공원,서울특별시 중구 순화동 216-2,서울특별시 중구 순화동 216-2,37.559824,126.971601,2103,,,,,,1973-09-06,서울특별시 중구청,02-3396-5852,2020-06-04
11140-00035,명동문화공원,문화공원,서울특별시 중구 저동 90-10,서울특별시 중구 저동 90-10,37.564745,126.986445,1456,,,,,,1984-04-27,서울특별시 중구청,02-3396-5852,2020-06-04
